abbrev,pool_amount,picks
ARI,$13.60m,"15, 31, 53, 88"
ATH,$13.84m,"8, 47, 73, 83"
ATL,$15.87m,"9, 26, 48, 84"
BAL,$13.11m,"7, 46, 82"
BOS,$8.22m,"20, 67, 96"
CHC,$9.64m,"23, 62, 75, 98"
CHW,$20.49m,"1, 34, 41, 77"
CIN,$10.76m,"18, 58, 70, 94"
CLE,$9.30m,"19, 59, 95"
COL,$15.56m,"10, 37, 38, 76"
DET,$9.17m,"22, 61, 69"
HOU,$13.71m,"17, 28, 57, 93"
KC,$15.95m,"6, 30, 56, 91"
LAA,$11.76m,"12, 45, 81"
LAD,$3.95m,40
MIA,$11.96m,"14, 52, 71, 87"
MIL,$8.04m,"25, 66, 102"
MIN,$16.93m,"3, 43, 74, 79"
NYM,$6.73m,"27, 92"
NYY,$7.34m,"35, 63, 99"
PHI,$7.77m,"36, 64, 100"
PIT,$16.23m,"5, 44, 51, 80"
SD,$9.48m,"21, 60, 97"
SEA,$8.22m,"24, 65, 101"
SF,$17.35m,"4, 29, 55, 90"
STL,$16.61m,"13, 32, 50, 68, 72, 86"
TB,$19.01m,"2, 33, 49, 85"
TEX,$10.22m,"16, 54, 89"
TOR,$5.54m,"39, 103"
WSH,$12.28m,"11, 42, 78"
